board_string,player,position
X........,O,4
XX..O....,O,2
XXOXO....,O,6
X...O...X,O,1
XO..O..XX,O,6
XOX.O.OXX,O,5
XO..OXOXX,O,2
....X....,O,0
XO.XO.OXX,O,2
O...X...X,O,2
O.O.X.X.X,O,1
X.O.X....,O,8
X.O.XX..O,O,3
XXOOXX..O,O,7
......X..,O,4
....X.XO.,O,0
XOX.O...X,O,5
XOXXOO..X,O,7
..XOX....,O,0
X.O.O.X.X,O,1
X.OOOXX.X,O,7
..X.X..O.,O,0
...XXO...,O,0
..XXXOO..,O,0
OXXXXOO..,O,7
OXO.X...X,O,7
OXOOX.X.X,O,7
X...X...O,O,2
X...X..O.,O,1
OXO.XX.OX,O,3
O.X.X....,O,6
O.XXX.O..,O,5
OXOXXO..X,O,7
X.X.O....,O,1
XOX.OO.XX,O,3
OXOXX..OX,O,5
....XOX..,O,0
.......X.,O,1
....X..XO,O,1
.OX.X..XO,O,6
OOX.XX.XO,O,3
.X.......,O,0
OX..X....,O,7
OXX.X..O.,O,6
OXXXX.OO.,O,8
OXX.XXOO.,O,3
...OXX...,O,0
O..OXX..X,O,2
O..OXXXOX,O,2
XXO......,O,5
XXO..O..X,O,4
XXO.OOX.X,O,3
O...X.XOX,O,2
.X..XO...,O,0
.XX.XO..O,O,0
OXX.X...O,O,3
XXO.O.X..,O,3
XXOOOXX..,O,7
...X.....,O,0
O..X.X...,O,4
O..XOXX..,O,1
OOXXOXX..,O,7
..X.X...O,O,6
..X.X.O..,O,0
XO..X....,O,2
XOOXX....,O,5
O.X.X.OX.,O,3
OXO.XXO.X,O,3
..O.X..X.,O,1
.OO.X..XX,O,0
.O..X..X.,O,0
.OO.XX.X.,O,0
O...X..X.,O,1
O.O.X..XX,O,1
..X.X.OOX,O,0
O...X.X..,O,2
O..OX.X.X,O,1
X.X.XO..O,O,1
OXO.X.XOX,O,3
O.O.XX..X,O,1
OO..XX.X.,O,2
.OOXX..X.,O,0
OO.XX..X.,O,2
.OX.XXOXO,O,3
OOX.X..X.,O,6
OOXXX.OX.,O,5
..X.O.X..,O,1
.OX.O.X.X,O,7
XO.....X.,O,6
XO..X.OX.,O,8
XO..XXOXO,O,3
.O...X.X.,O,6
.OX..XOX.,O,8
..X.XO...,O,0
X.X.XOO..,O,1
O.X.X..OX,O,1
OOX.XXOX.,O,3
..X......,O,4
..X.O..X.,O,3
..XXO..XO,O,0
O.O.XXXOX,O,1
XOX.O..X.,O,3
XOXOOX.X.,O,8
